PATIENT_ID,BED_ID,BED_TYPE,Reffered by,NAME OF PATIENT,AGE,GENDER,CONTACT.No,ADDRESS,ID_type,ID_number,TIME,DATE
SO1764,3002,CABIN BED,Dr.Amit,ANTARA PAL,22,FEMALE,6798346523,22|Hemgiri Path|Ulubari|South Sarania|Guwahati,PAN CARD,'ABNGH7689W,18:17:17,06/01/2022
XT5213,NONE,OPD,Dr.Amit,KENI DAS,26,FEMALE,9812345678,27|Chandmari|Guwahati,VOTER ID CARD,'YCV1287345,22:47:23,06/01/2022
NX1123,1006,GENERAL BED,Dr.Anurima,JAYANTA GOGOI,50,MALE,6534217689,34|Gandhi Basti|Silpukhuri|Guwahati 781003,AADHAR CARD,'457623547698,22:55:01,06/01/2022
ES1972,5003,COVID BED,Dr.Sumit,AYUSH,18,MALE,8765432167,56|Adabari|Guwahati,AADHAR CARD,'987654321234,15:12:49,16-01-2022
BH9200,3003,CABIN BED,Dr.Amita,RITAM,22,MALE,9876543219,Kotaobari|Guwahati,AADHAR CARD,'987654321267,18:46:49,16-01-2022
SM7368,4006,ICU BED,Dr. Nitul Saikia,DWIPEN DAS,41,MALE,8475165438,Milan Nagar| Boragaon| Guwahati,PAN CARD,'BNZPM2501F,19:06:15,16-01-2022
DF4861,NONE,OPD,Dr.Arora,RITANJIT,19,MALE,8765432123,45|Adabari|Guwahati,AADHAR CARD,'908734651265,20:08:09,25-01-2022
JN7211,3004,CABIN BED,Dr.Anurima,ANIRBAN SAHA,18,MALE,9864117657,22|Hemgri Path|Guwahati,AADHAR CARD,'912768903465,22:04:56,02-02-2022
EU9791,1003,GENERAL BED,Dr.Anurima,ANIRBAN SAHA,18,MALE,9864117657,22|Hemgiri Path|Guwahati,AADHAR CARD,'987654321098,22:09:20,02-02-2022
NX6365,5005,COVID BED,Dr.Anumitra,ANIRBAN SAHA,18,MALE,9864117657,22|Hemgiri Path|Guwahati,AADHAR CARD,'986754124365,22:11:34,02-02-2022
WL3383,NONE,OPD,Dr.Raj,BIKASHITA SAHA,18,FEMALE,8967547634,23|Rajgarh|Guwahati,AADHAR CARD,'769856873458,22:24:11,02-02-2022
CE1084,1007,GENERAL BED,Dr.Raj,SHUBHANGI DEY,18,FEMALE,8723657865,29|Kotaobari|Guwahati,AADHAR CARD,'875643129856,22:34:23,02-02-2022
GZ9973,2001,PAYING BED,Dr.Anumitra,MONAMI SOM SAHA,18,FEMALE,7698182774,24|Birubari|Guwahati,PAN CARD,'BGHRT2769F,08:37:36,08-02-2022
NN5493,4007,ICU BED,Dr.Ravi,ANKURAN DUTTA BARUAH,18,MALE,7513246587,26|Ulubari|Guwahati,AADHAR CARD,'912657834563,08:49:03,08-02-2022
JO6422,4008,ICU BED,Dr.Rishab Kumar,RISHABH KUMAR,22,MALE,9596989910,Banaras,PAN CARD,'NKBNMC100K,21:01:14,10-10-2023
